canonical_tag,v2_home,v2_resolution_route,authority_scope,authority_type,source_provenance,evidence_url,evidence_claim,family,base_character,v3_state,v3_home,current_v3_rejection_reason,migration_state,primary_migration_loss_reason,difference_class,difference_detail,evidence_path
000_(path_to_nowhere),path_to_nowhere,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,P1_P3_AUTHORITY_SECOND_REVIEW_V1.csv,https://ptn.aisnogames.com/,Reviewed reusable qualifier-family authority,path_to_nowhere,,HOME_CONFIRMED,path_to_nowhere,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""path_to_nowhere"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-1cf9694f0dc331d2cb5c5666"",""ev3-884b9e6f582c3d25d760089b""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""000_(path_to_nowhere)"",""object_key"":""path_to_nowhere"",""evidence_id"":""ev3-1cf9694f0dc331d2cb5c5666""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""path_to_nowhere"",""object_key"":""path_to_nowhere"",""evidence_id"":""ev3-884b9e6f582c3d25d760089b""}]}]"
001_(darling_in_the_franxx),darling_in_the_franxx,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,darling_in_the_franxx,,HOME_CONFIRMED,darling_in_the_franxx,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""darling_in_the_franxx"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-10b2966495832ec15e8bc4c5"",""ev3-98ae3d2a6f1deaf77edf1280""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""001_(darling_in_the_franxx)"",""object_key"":""darling_in_the_franxx"",""evidence_id"":""ev3-10b2966495832ec15e8bc4c5""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""darling_in_the_franxx"",""object_key"":""darling_in_the_franxx"",""evidence_id"":""ev3-98ae3d2a6f1deaf77edf1280""}]}]"
10h_(nier_reincarnation),nier_reincarnation,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,nier_reincarnation,,HOME_CONFIRMED,nier_reincarnation,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""nier_reincarnation"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-94fd7ab97aea14d742d5a3bd"",""ev3-07eae611082b64050fbd9fd2""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""10h_(nier_reincarnation)"",""object_key"":""nier_reincarnation"",""evidence_id"":""ev3-94fd7ab97aea14d742d5a3bd""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""nier_reincarnation"",""object_key"":""nier_reincarnation"",""evidence_id"":""ev3-07eae611082b64050fbd9fd2""}]}]"
12f_(arknights),arknights,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,arknights,,HOME_CONFIRMED,arknights,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""arknights"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-3995463bec9248b2e684b89d"",""ev3-2f3eba53f3683b07f640d3e4""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""12f_(arknights)"",""object_key"":""arknights"",""evidence_id"":""ev3-3995463bec9248b2e684b89d""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""arknights"",""object_key"":""arknights"",""evidence_id"":""ev3-2f3eba53f3683b07f640d3e4""}]}]"
210_(reverse:1999),reverse:1999,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://re1999.bluepoch.com/,Reviewed reusable qualifier-family authority,reverse:1999,,HOME_CONFIRMED,reverse:1999,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""reverse:1999"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-13a2b03335046ca5b51e8fae"",""ev3-88d99f4adea132484a82ebcc""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""210_(reverse:1999)"",""object_key"":""reverse:1999"",""evidence_id"":""ev3-13a2b03335046ca5b51e8fae""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""reverse:1999"",""object_key"":""reverse:1999"",""evidence_id"":""ev3-88d99f4adea132484a82ebcc""}]}]"
2b_(nier:automata),nier:automata,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,nier:automata,,HOME_CONFIRMED,nier:automata,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""nier:automata"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-2f7b2fc8247b810f27a34524"",""ev3-17d2d63f2ec7529c4e32b9e9""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""2b_(nier:automata)"",""object_key"":""nier:automata"",""evidence_id"":""ev3-2f7b2fc8247b810f27a34524""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""nier:automata"",""object_key"":""nier:automata"",""evidence_id"":""ev3-17d2d63f2ec7529c4e32b9e9""}]}]"
2p_(nier:automata),nier:automata,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,nier:automata,,HOME_CONFIRMED,nier:automata,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""nier:automata"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-360dff5b9b203da4bc0a1d98"",""ev3-17d2d63f2ec7529c4e32b9e9""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""2p_(nier:automata)"",""object_key"":""nier:automata"",""evidence_id"":""ev3-360dff5b9b203da4bc0a1d98""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""nier:automata"",""object_key"":""nier:automata"",""evidence_id"":""ev3-17d2d63f2ec7529c4e32b9e9""}]}]"
37_(reverse:1999),reverse:1999,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://re1999.bluepoch.com/,Reviewed reusable qualifier-family authority,reverse:1999,,HOME_CONFIRMED,reverse:1999,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""reverse:1999"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-0739432a5392412f87149362"",""ev3-88d99f4adea132484a82ebcc""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""37_(reverse:1999)"",""object_key"":""reverse:1999"",""evidence_id"":""ev3-0739432a5392412f87149362""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""reverse:1999"",""object_key"":""reverse:1999"",""evidence_id"":""ev3-88d99f4adea132484a82ebcc""}]}]"
6_(reverse:1999),reverse:1999,FAMILY_QUALIFIER,FAMILY_QUALIFIER,FIRST_PARTY_REVIEWED,BATCH_A_REMAINING_7_SECOND_REVIEW_V2.csv,https://re1999.bluepoch.com/,Reviewed reusable qualifier-family authority,reverse:1999,,HOME_CONFIRMED,reverse:1999,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""reverse:1999"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-9b8f96b2ba262023d084de88"",""ev3-88d99f4adea132484a82ebcc""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""6_(reverse:1999)"",""object_key"":""reverse:1999"",""evidence_id"":""ev3-9b8f96b2ba262023d084de88""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""reverse:1999"",""object_key"":""reverse:1999"",""evidence_id"":""ev3-88d99f4adea132484a82ebcc""}]}]"
6p62_(girls'_frontline),girls'_frontline,FAMILY_QUALIFIER,FAMILY_QUALIFIER,EXACT_COPYRIGHT_REVIEWED,GLOBAL_EXACT_COPYRIGHT_SECOND_REVIEW_V1.csv,,Reviewed reusable qualifier-family authority,girls'_frontline,,HOME_CONFIRMED,girls'_frontline,,SAME_HOME,,,Same HOME recovered through a validated v3 evidence path.,"[{""home"":""girls'_frontline"",""kind"":""FAMILY_HOME"",""evidence_ids"":[""ev3-70b39d271456d7694c9c999c"",""ev3-2979ddebbb9bc103b48fee7a""],""path_edges"":[{""relation_type"":""MEMBER_OF"",""subject_key"":""6p62_(girls'_frontline)"",""object_key"":""girls'_frontline"",""evidence_id"":""ev3-70b39d271456d7694c9c999c""},{""relation_type"":""FAMILY_HOME"",""subject_key"":""girls'_frontline"",""object_key"":""girls'_frontline"",""evidence_id"":""ev3-2979ddebbb9bc103b48fee7a""}]}]"
